2022-07-12 18:57:26,634 | ini_setup | INFO     | [features]readiness=False
2022-07-12 18:57:26,634 | ini_setup | INFO     | [features]software=True
2022-07-12 18:57:26,634 | ini_setup | INFO     | [features]statistics=True
2022-07-12 18:57:26,634 | ini_setup | INFO     | [features]system=True
2022-07-12 18:57:26,634 | ini_setup | INFO     | [general]identifier=standalone
2022-07-12 18:57:26,634 | ini_setup | INFO     | [general]ip_address=127.0.0.1
2022-07-12 18:57:26,634 | ini_setup | INFO     | [general]ready_file_path=/var/run/ericsson/server-daemon/ready
2022-07-12 18:57:26,634 | ini_setup | INFO     | [general]software=/opt/ericsson/server-daemon/etc/software.json
2022-07-12 18:57:26,634 | ini_setup | INFO     | [time]interval.heartbeat=3
2022-07-12 18:57:26,634 | ini_setup | INFO     | [time]interval.ip_address=60
2022-07-12 18:57:26,634 | ini_setup | INFO     | [time]interval.readiness=5
2022-07-12 18:57:26,634 | ini_setup | INFO     | [time]interval.software=60
2022-07-12 18:57:26,634 | ini_setup | INFO     | [time]interval.statistics=60
2022-07-12 18:57:26,634 | ini_setup | INFO     | [time]interval.system=60
2022-07-12 18:57:26,635 | ini_setup | INFO     | return code 0
2022-07-12 18:57:26,635 | ini_setup | INFO     | ---
2022-07-12 19:36:46,617 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVERDAEMON_TIME_INTERVAL.HEARTBEAT
2022-07-12 19:36:46,618 | ini_setup | WARNING  | we will search for SERVERDAEMON_TIME_INTERVAL_HEARTBEAT instead...
2022-07-12 19:36:46,618 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVERDAEMON_TIME_INTERVAL.IP_ADDRESS
2022-07-12 19:36:46,618 | ini_setup | WARNING  | we will search for SERVERDAEMON_TIME_INTERVAL_IP_ADDRESS instead...
2022-07-12 19:36:46,618 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVERDAEMON_TIME_INTERVAL.READINESS
2022-07-12 19:36:46,618 | ini_setup | WARNING  | we will search for SERVERDAEMON_TIME_INTERVAL_READINESS instead...
2022-07-12 19:36:46,618 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVERDAEMON_TIME_INTERVAL.SOFTWARE
2022-07-12 19:36:46,618 | ini_setup | WARNING  | we will search for SERVERDAEMON_TIME_INTERVAL_SOFTWARE instead...
2022-07-12 19:36:46,618 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVERDAEMON_TIME_INTERVAL.STATISTICS
2022-07-12 19:36:46,618 | ini_setup | WARNING  | we will search for SERVERDAEMON_TIME_INTERVAL_STATISTICS instead...
2022-07-12 19:36:46,618 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVERDAEMON_TIME_INTERVAL.SYSTEM
2022-07-12 19:36:46,618 | ini_setup | WARNING  | we will search for SERVERDAEMON_TIME_INTERVAL_SYSTEM instead...
2022-07-12 19:36:46,618 | ini_setup | INFO     | configure /opt/ericsson/server-daemon/etc/server-daemon.ini from /opt/ericsson/server-daemon/etc/server-daemon.ini
2022-07-12 19:36:46,619 | ini_setup | INFO     | [database]url=mongodb://127.0.0.1:27017/envivioCluster
2022-07-12 19:36:46,619 | ini_setup | INFO     | [features]heartbeat=True
2022-07-12 19:36:46,619 | ini_setup | INFO     | [features]ip_address=True
2022-07-12 19:36:46,619 | ini_setup | INFO     | [features]readiness=False
2022-07-12 19:36:46,619 | ini_setup | INFO     | [features]software=True
2022-07-12 19:36:46,619 | ini_setup | INFO     | [features]statistics=True
2022-07-12 19:36:46,619 | ini_setup | INFO     | [features]system=True
2022-07-12 19:36:46,619 | ini_setup | INFO     | [general]identifier=standalone
2022-07-12 19:36:46,619 | ini_setup | INFO     | [general]ip_address=192.168.21.51
2022-07-12 19:36:46,619 | ini_setup | INFO     | [general]ready_file_path=/var/run/ericsson/server-daemon/ready
2022-07-12 19:36:46,619 | ini_setup | INFO     | [general]software=/opt/ericsson/server-daemon/etc/software.json
2022-07-12 19:36:46,619 | ini_setup | INFO     | [time]interval.heartbeat=3
2022-07-12 19:36:46,619 | ini_setup | INFO     | [time]interval.ip_address=60
2022-07-12 19:36:46,619 | ini_setup | INFO     | [time]interval.readiness=5
2022-07-12 19:36:46,619 | ini_setup | INFO     | [time]interval.software=60
2022-07-12 19:36:46,619 | ini_setup | INFO     | [time]interval.statistics=60
2022-07-12 19:36:46,619 | ini_setup | INFO     | [time]interval.system=60
2022-07-12 19:36:46,619 | ini_setup | INFO     | return code 0
2022-07-12 19:36:46,620 | ini_setup | INFO     | ---
2022-07-12 19:42:44,434 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVERDAEMON_TIME_INTERVAL.HEARTBEAT
2022-07-12 19:42:44,434 | ini_setup | WARNING  | we will search for SERVERDAEMON_TIME_INTERVAL_HEARTBEAT instead...
2022-07-12 19:42:44,434 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVERDAEMON_TIME_INTERVAL.IP_ADDRESS
2022-07-12 19:42:44,434 | ini_setup | WARNING  | we will search for SERVERDAEMON_TIME_INTERVAL_IP_ADDRESS instead...
2022-07-12 19:42:44,434 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVERDAEMON_TIME_INTERVAL.READINESS
2022-07-12 19:42:44,434 | ini_setup | WARNING  | we will search for SERVERDAEMON_TIME_INTERVAL_READINESS instead...
2022-07-12 19:42:44,434 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVERDAEMON_TIME_INTERVAL.SOFTWARE
2022-07-12 19:42:44,434 | ini_setup | WARNING  | we will search for SERVERDAEMON_TIME_INTERVAL_SOFTWARE instead...
2022-07-12 19:42:44,434 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVERDAEMON_TIME_INTERVAL.STATISTICS
2022-07-12 19:42:44,434 | ini_setup | WARNING  | we will search for SERVERDAEMON_TIME_INTERVAL_STATISTICS instead...
2022-07-12 19:42:44,435 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVERDAEMON_TIME_INTERVAL.SYSTEM
2022-07-12 19:42:44,435 | ini_setup | WARNING  | we will search for SERVERDAEMON_TIME_INTERVAL_SYSTEM instead...
2022-07-12 19:42:44,435 | ini_setup | INFO     | configure /opt/ericsson/server-daemon/etc/server-daemon.ini from /opt/ericsson/server-daemon/etc/server-daemon.ini
